champion,relation_type,rank,related_champion,estimated_winrate_vs_champion,estimated_delta,matchup_reason,source_type
JarvanIV,countered_by,1,Vi,46.85,-7.48,tiene mejor rango y control de oleada,heuristic_extended
JarvanIV,countered_by,2,Sejuani,45.0,-4.43,niega el plan principal del campeón,heuristic_extended
JarvanIV,countered_by,3,Briar,44.86,-4.93,tiene mejor rango y control de oleada,heuristic_extended
JarvanIV,favored_against,1,Kayn,52.5,3.04,tiene mejor escalado en la composición,heuristic_extended
JarvanIV,favored_against,2,RekSai,57.45,6.83,gana prioridad para objetivos,heuristic_extended
JarvanIV,favored_against,3,Karthus,53.36,2.75,tiene mejor escalado en la composición,heuristic_extended
Jax,countered_by,1,Malphite,43.92,-4.02,castiga engages o dashes,curated_core
Jax,countered_by,2,Garen,43.54,-2.75,escala mejor y fuerza peleas favorables,curated_core
Jax,countered_by,3,Poppy,48.7,-7.41,niega el plan principal del campeón,curated_core
Jax,favored_against,1,Camille,53.35,2.4,gana prioridad para objetivos,curated_core
Jax,favored_against,2,Irelia,57.15,3.44,su kit responde bien al patrón rival,curated_core
Jax,favored_against,3,Yone,54.28,7.02,su kit responde bien al patrón rival,curated_core
Jayce,countered_by,1,Malphite,43.39,-6.75,supera la fase de línea,curated_core
Jayce,countered_by,2,Irelia,46.58,-2.61,escala mejor y fuerza peleas favorables,curated_core
Jayce,countered_by,3,Wukong,44.37,-6.58,escala mejor y fuerza peleas favorables,curated_core
Jayce,favored_against,1,Gnar,55.9,3.18,puede abusar la fase temprana,curated_core
Jayce,favored_against,2,Kayle,53.4,3.5,controla mejor los intercambios,curated_core
Jayce,favored_against,3,Teemo,57.64,6.86,puede abusar la fase temprana,curated_core
Jhin,countered_by,1,Twitch,47.37,-3.31,niega el plan principal del campeón,heuristic_extended
Jhin,countered_by,2,Senna,46.48,-2.78,tiene mejor rango y control de oleada,heuristic_extended
Jhin,countered_by,3,KaiSa,47.08,-3.8,niega el plan principal del campeón,heuristic_extended
Jhin,favored_against,1,KogMaw,56.74,4.22,gana prioridad para objetivos,heuristic_extended
Jhin,favored_against,2,Nilah,51.39,5.16,su kit responde bien al patrón rival,heuristic_extended
Jhin,favored_against,3,Caitlyn,53.29,5.17,gana prioridad para objetivos,heuristic_extended
Jinx,countered_by,1,Draven,46.03,-7.18,niega el plan principal del campeón,curated_core
Jinx,countered_by,2,Twitch,47.88,-6.87,castiga engages o dashes,curated_core
Jinx,countered_by,3,Tristana,47.63,-7.28,tiene mejor rango y control de oleada,curated_core
Jinx,favored_against,1,Sivir,53.91,6.63,su kit responde bien al patrón rival,curated_core
Jinx,favored_against,2,KaiSa,55.38,6.43,su kit responde bien al patrón rival,curated_core
Jinx,favored_against,3,Aphelios,57.04,2.77,gana prioridad para objetivos,curated_core
KSante,countered_by,1,ChoGath,46.01,-2.89,tiene mejor rango y control de oleada,heuristic_extended
KSante,countered_by,2,Nasus,46.27,-5.48,tiene mejor rango y control de oleada,heuristic_extended
KSante,countered_by,3,Gangplank,45.18,-3.17,niega el plan principal del campeón,heuristic_extended
KSante,favored_against,1,Gnar,55.13,4.44,puede abusar la fase temprana,heuristic_extended
KSante,favored_against,2,TahmKench,55.86,2.39,su kit responde bien al patrón rival,heuristic_extended
KSante,favored_against,3,Rumble,54.02,2.7,su kit responde bien al patrón rival,heuristic_extended
KaiSa,countered_by,1,Caitlyn,43.34,-4.02,niega el plan principal del campeón,curated_core
KaiSa,countered_by,2,Draven,48.55,-7.48,castiga engages o dashes,curated_core
KaiSa,countered_by,3,Ashe,44.17,-5.92,tiene mejor rango y control de oleada,curated_core
KaiSa,favored_against,1,Ezreal,56.8,7.11,gana prioridad para objetivos,curated_core
KaiSa,favored_against,2,Jinx,52.99,6.8,tiene mejor escalado en la composición,curated_core
KaiSa,favored_against,3,Xayah,53.89,5.88,controla mejor los intercambios,curated_core
Kalista,countered_by,1,Twitch,46.47,-4.56,niega el plan principal del campeón,heuristic_extended
Kalista,countered_by,2,Jhin,48.01,-2.92,escala mejor y fuerza peleas favorables,heuristic_extended
Kalista,countered_by,3,KaiSa,44.23,-2.42,niega el plan principal del campeón,heuristic_extended
Kalista,favored_against,1,Ziggs,54.3,2.58,tiene mejor escalado en la composición,heuristic_extended
Kalista,favored_against,2,Zeri,53.34,7.16,su kit responde bien al patrón rival,heuristic_extended
Kalista,favored_against,3,Varus,55.13,5.61,tiene mejor escalado en la composición,heuristic_extended
Karma,countered_by,1,Blitzcrank,48.51,-7.2,tiene mejor rango y control de oleada,curated_core
Karma,countered_by,2,Nautilus,48.09,-6.84,castiga engages o dashes,curated_core
Karma,countered_by,3,Pyke,46.68,-6.93,niega el plan principal del campeón,curated_core
Karma,favored_against,1,Lulu,55.18,2.54,puede abusar la fase temprana,curated_core
Karma,favored_against,2,Milio,52.46,3.84,gana prioridad para objetivos,curated_core
Karma,favored_against,3,Sona,53.5,7.13,puede abusar la fase temprana,curated_core
Karthus,countered_by,1,Graves,44.56,-6.07,castiga engages o dashes,heuristic_extended
Karthus,countered_by,2,BelVeth,45.69,-4.77,tiene mejor rango y control de oleada,heuristic_extended
Karthus,countered_by,3,Elise,44.88,-4.45,castiga engages o dashes,heuristic_extended
Karthus,favored_against,1,Poppy,56.27,2.66,puede abusar la fase temprana,heuristic_extended
Karthus,favored_against,2,Shaco,57.55,3.59,su kit responde bien al patrón rival,heuristic_extended
Karthus,favored_against,3,Viego,52.86,5.98,tiene mejor escalado en la composición,heuristic_extended
Kassadin,countered_by,1,Aurora,44.34,-5.59,supera la fase de línea,heuristic_extended
Kassadin,countered_by,2,Azir,47.91,-3.97,tiene mejor rango y control de oleada,heuristic_extended
Kassadin,countered_by,3,Zoe,47.2,-2.8,supera la fase de línea,heuristic_extended
Kassadin,favored_against,1,Lux,54.66,6.89,tiene mejor escalado en la composición,heuristic_extended
Kassadin,favored_against,2,Viktor,54.04,5.51,puede abusar la fase temprana,heuristic_extended
Kassadin,favored_against,3,Ryze,55.18,5.46,tiene mejor escalado en la composición,heuristic_extended
Katarina,countered_by,1,Orianna,45.42,-4.46,supera la fase de línea,heuristic_extended
Katarina,countered_by,2,Neeko,46.05,-5.36,supera la fase de línea,heuristic_extended
Katarina,countered_by,3,Akshan,44.26,-6.03,escala mejor y fuerza peleas favorables,heuristic_extended
Katarina,favored_against,1,Swain,53.2,4.62,su kit responde bien al patrón rival,heuristic_extended
Katarina,favored_against,2,Ryze,54.39,6.84,puede abusar la fase temprana,heuristic_extended
Katarina,favored_against,3,AurelionSol,56.61,5.37,puede abusar la fase temprana,heuristic_extended
Kayle,countered_by,1,Jayce,46.66,-7.16,tiene mejor rango y control de oleada,heuristic_extended
Kayle,countered_by,2,Sett,44.51,-3.57,supera la fase de línea,heuristic_extended
Kayle,countered_by,3,Singed,47.58,-3.12,castiga engages o dashes,heuristic_extended
Kayle,favored_against,1,Olaf,57.11,4.11,tiene mejor escalado en la composición,heuristic_extended
Kayle,favored_against,2,Vladimir,52.38,4.68,tiene mejor escalado en la composición,heuristic_extended
Kayle,favored_against,3,Quinn,52.41,3.2,su kit responde bien al patrón rival,heuristic_extended
Kayn,countered_by,1,Wukong,46.72,-5.06,supera la fase de línea,heuristic_extended
Kayn,countered_by,2,Shyvana,47.71,-5.4,supera la fase de línea,heuristic_extended
Kayn,countered_by,3,Taliyah,47.14,-4.0,tiene mejor rango y control de oleada,heuristic_extended
Kayn,favored_against,1,Talon,51.35,3.22,su kit responde bien al patrón rival,heuristic_extended
Kayn,favored_against,2,Vi,55.84,2.2,gana prioridad para objetivos,heuristic_extended
Kayn,favored_against,3,Amumu,55.28,2.65,puede abusar la fase temprana,heuristic_extended
Kennen,countered_by,1,ChoGath,46.68,-6.42,supera la fase de línea,heuristic_extended
Kennen,countered_by,2,Aatrox,44.01,-5.59,supera la fase de línea,heuristic_extended
Kennen,countered_by,3,Vayne,47.43,-7.64,supera la fase de línea,heuristic_extended
Kennen,favored_against,1,Jayce,57.59,2.42,tiene mejor escalado en la composición,heuristic_extended
Kennen,favored_against,2,Vladimir,56.45,6.07,su kit responde bien al patrón rival,heuristic_extended
Kennen,favored_against,3,Sett,55.86,4.17,controla mejor los intercambios,heuristic_extended
KhaZix,countered_by,1,Elise,46.34,-3.13,supera la fase de línea,heuristic_extended
KhaZix,countered_by,2,Skarner,43.9,-7.11,niega el plan principal del campeón,heuristic_extended
KhaZix,countered_by,3,Udyr,45.01,-3.28,niega el plan principal del campeón,heuristic_extended
KhaZix,favored_against,1,Diana,54.15,4.59,tiene mejor escalado en la composición,heuristic_extended
KhaZix,favored_against,2,Kayn,56.47,3.22,tiene mejor escalado en la composición,heuristic_extended
KhaZix,favored_against,3,Warwick,53.3,5.15,tiene mejor escalado en la composición,heuristic_extended
Kindred,countered_by,1,Poppy,48.08,-2.72,tiene mejor rango y control de oleada,heuristic_extended
Kindred,countered_by,2,Skarner,43.61,-2.77,tiene mejor rango y control de oleada,heuristic_extended
Kindred,countered_by,3,Karthus,44.2,-4.56,tiene mejor rango y control de oleada,heuristic_extended
Kindred,favored_against,1,Rengar,52.08,7.43,su kit responde bien al patrón rival,heuristic_extended
Kindred,favored_against,2,JarvanIV,55.79,3.04,su kit responde bien al patrón rival,heuristic_extended
Kindred,favored_against,3,MasterYi,51.95,3.04,su kit responde bien al patrón rival,heuristic_extended
Kled,countered_by,1,Malphite,44.73,-6.61,castiga engages o dashes,heuristic_extended
Kled,countered_by,2,Camille,46.81,-3.23,niega el plan principal del campeón,heuristic_extended
Kled,countered_by,3,Renekton,44.39,-7.31,escala mejor y fuerza peleas favorables,heuristic_extended
Kled,favored_against,1,Garen,54.8,7.5,puede abusar la fase temprana,heuristic_extended
Kled,favored_against,2,Gangplank,56.96,4.52,controla mejor los intercambios,heuristic_extended
Kled,favored_against,3,Kayle,56.91,4.29,tiene mejor escalado en la composición,heuristic_extended
KogMaw,countered_by,1,Smolder,48.31,-5.53,escala mejor y fuerza peleas favorables,heuristic_extended
KogMaw,countered_by,2,MissFortune,44.65,-5.78,escala mejor y fuerza peleas favorables,heuristic_extended
KogMaw,countered_by,3,Ashe,44.87,-3.79,castiga engages o dashes,heuristic_extended
KogMaw,favored_against,1,Lucian,52.98,4.26,tiene mejor escalado en la composición,heuristic_extended
KogMaw,favored_against,2,KaiSa,51.96,2.82,controla mejor los intercambios,heuristic_extended
KogMaw,favored_against,3,Swain,53.33,2.7,controla mejor los intercambios,heuristic_extended
LeBlanc,countered_by,1,Lissandra,44.04,-5.8,tiene mejor rango y control de oleada,heuristic_extended
LeBlanc,countered_by,2,Katarina,44.19,-6.01,supera la fase de línea,heuristic_extended
LeBlanc,countered_by,3,Mel,44.08,-4.52,tiene mejor rango y control de oleada,heuristic_extended
LeBlanc,favored_against,1,Irelia,55.0,3.98,controla mejor los intercambios,heuristic_extended
LeBlanc,favored_against,2,Aurora,52.26,5.4,controla mejor los intercambios,heuristic_extended
LeBlanc,favored_against,3,Swain,54.86,3.45,puede abusar la fase temprana,heuristic_extended
LeeSin,countered_by,1,Poppy,45.42,-6.13,tiene mejor rango y control de oleada,curated_core
LeeSin,countered_by,2,Ivern,46.84,-5.71,castiga engages o dashes,curated_core
LeeSin,countered_by,3,Rammus,43.38,-5.72,supera la fase de línea,curated_core
LeeSin,favored_against,1,Karthus,52.41,2.44,gana prioridad para objetivos,curated_core
LeeSin,favored_against,2,Nidalee,55.94,2.71,su kit responde bien al patrón rival,curated_core
LeeSin,favored_against,3,Evelynn,55.86,5.45,su kit responde bien al patrón rival,curated_core
Leona,countered_by,1,Sona,45.3,-6.99,supera la fase de línea,heuristic_extended
Leona,countered_by,2,Milio,44.89,-2.46,castiga engages o dashes,heuristic_extended
Leona,countered_by,3,Braum,43.69,-5.24,castiga engages o dashes,heuristic_extended
Leona,favored_against,1,Zyra,57.65,2.23,tiene mejor escalado en la composición,heuristic_extended
Leona,favored_against,2,Maokai,53.88,6.58,su kit responde bien al patrón rival,heuristic_extended
Leona,favored_against,3,Wukong,56.73,3.57,gana prioridad para objetivos,heuristic_extended
Lillia,countered_by,1,Amumu,46.41,-4.2,niega el plan principal del campeón,heuristic_extended
Lillia,countered_by,2,Warwick,46.44,-7.78,tiene mejor rango y control de oleada,heuristic_extended
Lillia,countered_by,3,Rammus,45.47,-3.85,supera la fase de línea,heuristic_extended
Lillia,favored_against,1,JarvanIV,55.22,6.07,su kit responde bien al patrón rival,heuristic_extended
Lillia,favored_against,2,Maokai,57.53,5.74,gana prioridad para objetivos,heuristic_extended
Lillia,favored_against,3,Diana,56.73,7.5,gana prioridad para objetivos,heuristic_extended
Lissandra,countered_by,1,Viktor,43.53,-7.42,castiga engages o dashes,heuristic_extended
Lissandra,countered_by,2,Corki,44.72,-6.73,supera la fase de línea,heuristic_extended
Lissandra,countered_by,3,Orianna,47.21,-2.47,niega el plan principal del campeón,heuristic_extended
Lissandra,favored_against,1,Yasuo,57.41,4.01,su kit responde bien al patrón rival,heuristic_extended
Lissandra,favored_against,2,VelKoz,52.54,7.21,gana prioridad para objetivos,heuristic_extended
Lissandra,favored_against,3,Malzahar,53.72,5.67,controla mejor los intercambios,heuristic_extended
Lucian,countered_by,1,Tristana,45.88,-2.89,supera la fase de línea,heuristic_extended
Lucian,countered_by,2,Varus,48.43,-5.89,escala mejor y fuerza peleas favorables,heuristic_extended
Lucian,countered_by,3,Ziggs,44.03,-2.61,niega el plan principal del campeón,heuristic_extended
Lucian,favored_against,1,Nilah,55.19,7.15,controla mejor los intercambios,heuristic_extended
Lucian,favored_against,2,Zeri,54.97,5.19,puede abusar la fase temprana,heuristic_extended
Lucian,favored_against,3,Katarina,55.29,5.06,gana prioridad para objetivos,heuristic_extended
Lulu,countered_by,1,Blitzcrank,48.63,-4.77,castiga engages o dashes,curated_core
Lulu,countered_by,2,Pyke,46.78,-5.72,castiga engages o dashes,curated_core
Lulu,countered_by,3,Nautilus,44.43,-3.41,supera la fase de línea,curated_core
Lulu,favored_against,1,Leona,53.02,4.1,tiene mejor escalado en la composición,curated_core
Lulu,favored_against,2,Rakan,51.51,6.67,controla mejor los intercambios,curated_core
Lulu,favored_against,3,Alistar,55.33,2.5,tiene mejor escalado en la composición,curated_core
Lux,countered_by,1,Azir,48.05,-3.98,escala mejor y fuerza peleas favorables,heuristic_extended
Lux,countered_by,2,Ahri,47.7,-4.68,escala mejor y fuerza peleas favorables,heuristic_extended
Lux,countered_by,3,Taliyah,43.97,-7.79,niega el plan principal del campeón,heuristic_extended
Lux,favored_against,1,Sylas,54.98,6.18,controla mejor los intercambios,heuristic_extended
Lux,favored_against,2,Ryze,57.56,6.83,controla mejor los intercambios,heuristic_extended
Lux,favored_against,3,Yasuo,56.45,4.35,puede abusar la fase temprana,heuristic_extended
Malphite,countered_by,1,Sylas,47.16,-3.81,niega el plan principal del campeón,curated_core
Malphite,countered_by,2,Mordekaiser,43.25,-7.08,escala mejor y fuerza peleas favorables,curated_core
Malphite,countered_by,3,Gwen,48.23,-3.9,escala mejor y fuerza peleas favorables,curated_core
Malphite,favored_against,1,Tryndamere,54.2,7.05,puede abusar la fase temprana,curated_core
Malphite,favored_against,2,Yasuo,52.32,2.45,su kit responde bien al patrón rival,curated_core
Malphite,favored_against,3,Quinn,52.12,2.3,gana prioridad para objetivos,curated_core
Malzahar,countered_by,1,Ryze,46.9,-5.7,supera la fase de línea,heuristic_extended
Malzahar,countered_by,2,Irelia,47.83,-5.55,castiga engages o dashes,heuristic_extended
Malzahar,countered_by,3,Fizz,47.58,-5.03,escala mejor y fuerza peleas favorables,heuristic_extended
Malzahar,favored_against,1,Cassiopeia,51.55,2.73,gana prioridad para objetivos,heuristic_extended
Malzahar,favored_against,2,Ziggs,52.28,5.14,tiene mejor escalado en la composición,heuristic_extended
Malzahar,favored_against,3,Aurora,51.4,5.91,controla mejor los intercambios,heuristic_extended
Maokai,countered_by,1,Trundle,46.37,-3.03,escala mejor y fuerza peleas favorables,curated_core
Maokai,countered_by,2,Brand,44.95,-4.26,escala mejor y fuerza peleas favorables,curated_core
Maokai,countered_by,3,Lillia,47.25,-4.82,niega el plan principal del campeón,curated_core
Maokai,favored_against,1,Rengar,55.71,4.57,tiene mejor escalado en la composición,curated_core
Maokai,favored_against,2,KhaZix,53.12,2.9,tiene mejor escalado en la composición,curated_core
Maokai,favored_against,3,LeeSin,52.54,3.87,su kit responde bien al patrón rival,curated_core
MasterYi,countered_by,1,Gragas,44.94,-5.29,niega el plan principal del campeón,heuristic_extended
MasterYi,countered_by,2,Karthus,44.02,-5.48,escala mejor y fuerza peleas favorables,heuristic_extended
MasterYi,countered_by,3,Elise,46.16,-5.81,escala mejor y fuerza peleas favorables,heuristic_extended
MasterYi,favored_against,1,JarvanIV,51.81,4.66,puede abusar la fase temprana,heuristic_extended
MasterYi,favored_against,2,Ekko,56.89,6.55,tiene mejor escalado en la composición,heuristic_extended
MasterYi,favored_against,3,Udyr,57.32,5.57,gana prioridad para objetivos,heuristic_extended
Mel,countered_by,1,Azir,48.11,-4.69,supera la fase de línea,heuristic_extended
Mel,countered_by,2,LeBlanc,48.02,-5.76,supera la fase de línea,heuristic_extended
Mel,countered_by,3,Ziggs,48.4,-3.86,niega el plan principal del campeón,heuristic_extended
Mel,favored_against,1,Fizz,56.11,3.11,tiene mejor escalado en la composición,heuristic_extended
Mel,favored_against,2,TwistedFate,57.15,5.57,tiene mejor escalado en la composición,heuristic_extended
Mel,favored_against,3,Sylas,57.47,7.57,controla mejor los intercambios,heuristic_extended
Milio,countered_by,1,Swain,46.55,-4.25,niega el plan principal del campeón,heuristic_extended
Milio,countered_by,2,Zyra,45.29,-6.13,niega el plan principal del campeón,heuristic_extended
Milio,countered_by,3,RenataGlasc,45.8,-6.37,castiga engages o dashes,heuristic_extended
Milio,favored_against,1,Morgana,53.63,4.33,tiene mejor escalado en la composición,heuristic_extended
Milio,favored_against,2,Sona,56.82,7.11,tiene mejor escalado en la composición,heuristic_extended
Milio,favored_against,3,Vi,53.31,6.58,gana prioridad para objetivos,heuristic_extended
MissFortune,countered_by,1,Senna,45.68,-3.74,supera la fase de línea,heuristic_extended
MissFortune,countered_by,2,Nilah,44.53,-2.77,niega el plan principal del campeón,heuristic_extended
MissFortune,countered_by,3,Vayne,43.72,-6.51,niega el plan principal del campeón,heuristic_extended
MissFortune,favored_against,1,Aphelios,55.83,4.84,controla mejor los intercambios,heuristic_extended
MissFortune,favored_against,2,Draven,51.32,3.38,su kit responde bien al patrón rival,heuristic_extended
MissFortune,favored_against,3,Varus,55.28,5.7,tiene mejor escalado en la composición,heuristic_extended
Mordekaiser,countered_by,1,Vladimir,47.93,-2.55,escala mejor y fuerza peleas favorables,heuristic_extended
Mordekaiser,countered_by,2,Ornn,45.16,-6.7,castiga engages o dashes,heuristic_extended
Mordekaiser,countered_by,3,Volibear,46.74,-4.59,castiga engages o dashes,heuristic_extended
Mordekaiser,favored_against,1,Illaoi,51.61,4.47,gana prioridad para objetivos,heuristic_extended
Mordekaiser,favored_against,2,Sett,51.79,5.95,tiene mejor escalado en la composición,heuristic_extended
Mordekaiser,favored_against,3,Seraphine,52.22,2.53,controla mejor los intercambios,heuristic_extended
Morgana,countered_by,1,Nami,46.83,-5.25,castiga engages o dashes,heuristic_extended
Morgana,countered_by,2,Lux,45.65,-5.94,tiene mejor rango y control de oleada,heuristic_extended
Morgana,countered_by,3,Soraka,46.68,-3.69,supera la fase de línea,heuristic_extended
Morgana,favored_against,1,Bard,54.11,7.06,puede abusar la fase temprana,heuristic_extended
Morgana,favored_against,2,Alistar,52.42,5.78,controla mejor los intercambios,heuristic_extended
Morgana,favored_against,3,Swain,56.14,4.14,gana prioridad para objetivos,heuristic_extended
Naafiri,countered_by,1,Ahri,45.33,-4.82,escala mejor y fuerza peleas favorables,heuristic_extended
Naafiri,countered_by,2,Azir,46.65,-5.02,escala mejor y fuerza peleas favorables,heuristic_extended
Naafiri,countered_by,3,Vladimir,48.39,-4.81,escala mejor y fuerza peleas favorables,heuristic_extended
Naafiri,favored_against,1,Corki,53.65,3.7,tiene mejor escalado en la composición,heuristic_extended
Naafiri,favored_against,2,Yone,56.55,6.21,su kit responde bien al patrón rival,heuristic_extended
Naafiri,favored_against,3,Sett,57.56,7.42,gana prioridad para objetivos,heuristic_extended
Nami,countered_by,1,Rakan,44.22,-7.32,castiga engages o dashes,heuristic_extended
Nami,countered_by,2,Blitzcrank,43.21,-5.0,escala mejor y fuerza peleas favorables,heuristic_extended
Nami,countered_by,3,Taric,43.72,-6.92,niega el plan principal del campeón,heuristic_extended
Nami,favored_against,1,Sona,56.24,4.69,tiene mejor escalado en la composición,heuristic_extended
Nami,favored_against,2,Pyke,52.16,2.99,su kit responde bien al patrón rival,heuristic_extended
Nami,favored_against,3,Karma,55.67,5.05,gana prioridad para objetivos,heuristic_extended
Nasus,countered_by,1,Gangplank,46.94,-3.73,niega el plan principal del campeón,heuristic_extended
Nasus,countered_by,2,Kennen,47.58,-5.27,escala mejor y fuerza peleas favorables,heuristic_extended
Nasus,countered_by,3,Kled,47.81,-2.43,castiga engages o dashes,heuristic_extended
Nasus,favored_against,1,Mordekaiser,53.16,3.77,tiene mejor escalado en la composición,heuristic_extended
Nasus,favored_against,2,Camille,52.77,4.73,controla mejor los intercambios,heuristic_extended
Nasus,favored_against,3,Yone,53.65,5.58,tiene mejor escalado en la composición,heuristic_extended
Nautilus,countered_by,1,Morgana,43.81,-7.57,tiene mejor rango y control de oleada,curated_core
Nautilus,countered_by,2,Janna,45.37,-5.05,escala mejor y fuerza peleas favorables,curated_core
Nautilus,countered_by,3,Braum,45.83,-2.9,supera la fase de línea,curated_core
Nautilus,favored_against,1,Yuumi,55.52,5.0,tiene mejor escalado en la composición,curated_core
Nautilus,favored_against,2,Sona,53.05,6.51,su kit responde bien al patrón rival,curated_core
Nautilus,favored_against,3,Senna,57.02,7.14,su kit responde bien al patrón rival,curated_core
Neeko,countered_by,1,Hwei,46.06,-3.93,niega el plan principal del campeón,heuristic_extended
Neeko,countered_by,2,Akali,46.54,-5.83,tiene mejor rango y control de oleada,heuristic_extended
Neeko,countered_by,3,Ahri,44.25,-2.62,tiene mejor rango y control de oleada,heuristic_extended
Neeko,favored_against,1,Katarina,57.13,3.15,su kit responde bien al patrón rival,heuristic_extended
Neeko,favored_against,2,Tristana,54.52,5.11,puede abusar la fase temprana,heuristic_extended
Neeko,favored_against,3,Taliyah,52.55,4.82,su kit responde bien al patrón rival,heuristic_extended
Nidalee,countered_by,1,Vi,45.34,-4.27,supera la fase de línea,curated_core
Nidalee,countered_by,2,JarvanIV,46.84,-5.8,tiene mejor rango y control de oleada,curated_core
Nidalee,countered_by,3,Poppy,44.56,-3.21,niega el plan principal del campeón,curated_core
Nidalee,favored_against,1,Karthus,57.69,3.45,su kit responde bien al patrón rival,curated_core
Nidalee,favored_against,2,Lillia,53.49,7.02,tiene mejor escalado en la composición,curated_core
Nidalee,favored_against,3,Fiddlesticks,54.1,5.35,controla mejor los intercambios,curated_core
Nilah,countered_by,1,Tristana,45.88,-5.53,escala mejor y fuerza peleas favorables,heuristic_extended
Nilah,countered_by,2,MissFortune,43.89,-4.73,castiga engages o dashes,heuristic_extended
Nilah,countered_by,3,Ashe,44.59,-4.96,niega el plan principal del campeón,heuristic_extended
Nilah,favored_against,1,Twitch,57.68,2.98,gana prioridad para objetivos,heuristic_extended
Nilah,favored_against,2,Ezreal,53.08,3.41,controla mejor los intercambios,heuristic_extended
Nilah,favored_against,3,Ziggs,53.62,4.96,gana prioridad para objetivos,heuristic_extended
Nocturne,countered_by,1,Fiddlesticks,48.17,-6.07,niega el plan principal del campeón,heuristic_extended
Nocturne,countered_by,2,XinZhao,46.5,-7.24,supera la fase de línea,heuristic_extended
Nocturne,countered_by,3,Poppy,43.87,-4.99,escala mejor y fuerza peleas favorables,heuristic_extended
Nocturne,favored_against,1,Skarner,51.76,4.98,puede abusar la fase temprana,heuristic_extended
Nocturne,favored_against,2,Ivern,53.25,2.67,puede abusar la fase temprana,heuristic_extended
Nocturne,favored_against,3,Udyr,53.28,3.22,controla mejor los intercambios,heuristic_extended
Nunu,countered_by,1,Zac,46.88,-7.48,castiga engages o dashes,heuristic_extended
Nunu,countered_by,2,XinZhao,46.54,-6.01,escala mejor y fuerza peleas favorables,heuristic_extended
Nunu,countered_by,3,Rammus,46.59,-4.51,castiga engages o dashes,heuristic_extended
Nunu,favored_against,1,Warwick,55.03,6.07,controla mejor los intercambios,heuristic_extended
Nunu,favored_against,2,RekSai,56.42,6.6,tiene mejor escalado en la composición,heuristic_extended
Nunu,favored_against,3,Diana,53.83,4.87,su kit responde bien al patrón rival,heuristic_extended
Olaf,countered_by,1,Malphite,46.71,-3.35,niega el plan principal del campeón,heuristic_extended
Olaf,countered_by,2,Riven,43.42,-2.57,tiene mejor rango y control de oleada,heuristic_extended
Olaf,countered_by,3,Mordekaiser,46.52,-7.15,niega el plan principal del campeón,heuristic_extended
Olaf,favored_against,1,Yone,53.6,4.4,gana prioridad para objetivos,heuristic_extended
Olaf,favored_against,2,Kennen,52.88,3.16,tiene mejor escalado en la composición,heuristic_extended
Olaf,favored_against,3,Aphelios,57.68,5.28,gana prioridad para objetivos,heuristic_extended
Orianna,countered_by,1,Syndra,48.24,-2.68,supera la fase de línea,curated_core
Orianna,countered_by,2,LeBlanc,47.74,-6.29,supera la fase de línea,curated_core
Orianna,countered_by,3,Xerath,46.01,-3.72,niega el plan principal del campeón,curated_core
Orianna,favored_against,1,Galio,53.28,2.56,gana prioridad para objetivos,curated_core
Orianna,favored_against,2,Lissandra,53.61,5.9,gana prioridad para objetivos,curated_core
Orianna,favored_against,3,Viktor,51.87,2.69,su kit responde bien al patrón rival,curated_core
Ornn,countered_by,1,Malphite,47.44,-6.36,tiene mejor rango y control de oleada,heuristic_extended
Ornn,countered_by,2,Kled,45.28,-3.65,tiene mejor rango y control de oleada,heuristic_extended
Ornn,countered_by,3,Gwen,45.4,-5.73,tiene mejor rango y control de oleada,heuristic_extended
Ornn,favored_against,1,Gangplank,51.82,7.03,su kit responde bien al patrón rival,heuristic_extended
Ornn,favored_against,2,Darius,53.44,2.48,puede abusar la fase temprana,heuristic_extended
Ornn,favored_against,3,Vayne,57.34,2.74,tiene mejor escalado en la composición,heuristic_extended
Pantheon,countered_by,1,Kassadin,47.92,-6.04,castiga engages o dashes,heuristic_extended
Pantheon,countered_by,2,Vex,44.57,-2.68,tiene mejor rango y control de oleada,heuristic_extended
Pantheon,countered_by,3,Lux,48.01,-3.62,tiene mejor rango y control de oleada,heuristic_extended
Pantheon,favored_against,1,LeBlanc,56.58,2.37,controla mejor los intercambios,heuristic_extended
Pantheon,favored_against,2,Anivia,56.95,3.62,controla mejor los intercambios,heuristic_extended
Pantheon,favored_against,3,Janna,54.15,4.08,puede abusar la fase temprana,heuristic_extended
Poppy,countered_by,1,Trundle,47.45,-4.79,castiga engages o dashes,curated_core
Poppy,countered_by,2,Olaf,46.41,-4.17,tiene mejor rango y control de oleada,curated_core
Poppy,countered_by,3,Mordekaiser,47.8,-3.71,castiga engages o dashes,curated_core
Poppy,favored_against,1,LeeSin,57.61,5.88,tiene mejor escalado en la composición,curated_core
Poppy,favored_against,2,JarvanIV,56.92,5.46,su kit responde bien al patrón rival,curated_core
Poppy,favored_against,3,Vi,56.18,6.56,controla mejor los intercambios,curated_core
Pyke,countered_by,1,Lux,48.36,-2.71,niega el plan principal del campeón,heuristic_extended
Pyke,countered_by,2,RenataGlasc,47.25,-3.68,escala mejor y fuerza peleas favorables,heuristic_extended
Pyke,countered_by,3,Morgana,43.7,-6.88,supera la fase de línea,heuristic_extended
Pyke,favored_against,1,Leona,51.81,5.74,gana prioridad para objetivos,heuristic_extended
