scouting_id,ally_top,ally_jungle,ally_mid,ally_adc,ally_support,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_support,texto_entrada_nlp,strategy_label,main_phase,objective_focus,risk_level,execution_difficulty,dataset_version
1127,Nami,Tristana,MasterYi,Elise,Xayah,Ambessa,Sona,Vex,LeBlanc,Shyvana,"La lectura inicial indica que, con Nami, Tristana y MasterYi frente a Ambessa, Sona y Vex, No conviene gastar definitivas por separado; el valor real está en sincronizar iniciación y daño sobre varios objetivos. El foco debe estar en peleas agrupadas por dragón o barón, cuidando zona de dragón.",wombo combo,mid,peleas agrupadas por dragón o barón,bajo,Depende de cooldowns definitivos.,V3_implicit_contextual
1128,Varus,Darius,Rumble,Zeri,Qiyana,Tristana,Fiddlesticks,Blitzcrank,Lucian,KhaZix,"Con una ejecución ordenada, con Varus, Darius y Rumble frente a Tristana, Fiddlesticks y Blitzcrank, El valor del draft aumenta con niveles y oro, por lo que conviene ceder presión menor si eso asegura una transición limpia. El foco debe estar en barón, alma o pelea tardía, cuidando control de cooldowns.",escalar late,late,"barón, alma o pelea tardía",medio,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1129,Urgot,Twitch,Kassadin,Vayne,Bard,Akali,Ambessa,Qiyana,Tristana,Nami,"El draft aliado mezcla bruiser dive, hypercarry y roaming tempo, mientras el rival amenaza con control mage y engage. La composición gana valor cuando puede ocultar visión, esperar errores de posicionamiento y atrapar objetivos aislados. La ejecución depende de control de cooldowns.",pick composition,mid,visión oscura antes de Nashor,medio,Requiere visión profunda.,V3_implicit_contextual
1130,Gnar,Hwei,Ekko,Singed,Illaoi,Pantheon,Zyra,Zoe,Wukong,Azir,"El draft aliado mezcla splitpush, capturas previas y tempo, mientras el rival amenaza con roaming tempo y utility. La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. La ejecución depende de temporizadores de objetivos.",escalar late,late,"barón, alma o pelea tardía",alto,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1131,Cassiopeia,Rakan,Gnar,Shyvana,Gwen,Darius,Janna,Viktor,Alistar,Mel,"La composición aliada se beneficia cuando, con Cassiopeia, Rakan y Gnar frente a Darius, Janna y Viktor, El plan depende más de lectura de mapa, oleadas y tempo de rotación que de forzar peleas directas. El foco debe estar en oleadas laterales y estructuras, cuidando temporizadores de objetivos.",macro composition,mid-late,oleadas laterales y estructuras,medio,Menos directa en peleas 5v5.,V3_implicit_contextual
1132,Aatrox,Samira,Yorick,Maokai,Nasus,Sona,Lux,Volibear,Sett,Akali,"Con una ejecución ordenada, con Aatrox, Samira y Yorick frente a Sona, Lux y Volibear, La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. El foco debe estar en barón, alma o pelea tardía, cuidando río sin visión.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1133,Heimerdinger,Seraphine,TahmKench,Karma,Jax,Kennen,Veigar,Ekko,Ambessa,Yuumi,"El draft aliado mezcla control mage, peel y bruiser dive, mientras el rival amenaza con bruiser dive y control mage. La partida debe abrirse por los costados, no por peleas frontales sin preparación. La ejecución depende de zona de dragón.",splitpush táctico,mid-late,torres laterales y presión cruzada,alto,Requiere visión lateral y TP disponible.,V3_implicit_contextual
1134,Sylas,Olaf,Poppy,Annie,Udyr,MasterYi,Talon,Samira,Camille,KaiSa,"No se trata de esperar escalado, sino de encadenar jugadas rápidas antes de que el rival estabilice. En la práctica, Sylas y Annie necesitan que Olaf controle los primeros movimientos contra MasterYi y KaiSa. La prioridad debería girar alrededor de heraldo, dives y rotaciones tempranas.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
1135,Jhin,Vayne,TahmKench,ChoGath,Blitzcrank,Senna,Neeko,Hecarim,Diana,Shyvana,"La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. En la práctica, Jhin y ChoGath necesitan que Vayne controle los primeros movimientos contra Senna y Shyvana. La prioridad debería girar alrededor de torres laterales y presión cruzada.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
1136,Azir,Poppy,Diana,Fiddlesticks,Neeko,Elise,Xayah,Ahri,Amumu,Camille,"La composición gana si controla espacio con rango, limpia oleadas rápido y evita peleas cerradas sin ventaja previa. En la práctica, Azir y Fiddlesticks necesitan que Poppy controle los primeros movimientos contra Elise y Camille. La prioridad debería girar alrededor de torres y zonas neutrales.",poke composition,mid,torres y zonas neutrales,medio,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
1137,Volibear,Bard,DrMundo,Lissandra,Galio,Pantheon,AurelionSol,Kennen,MasterYi,Vex,"El draft aliado mezcla engage, engage y splitpush, mientras el rival amenaza con roaming tempo y poke. El mapa debe jugarse alrededor de temporizadores, visión y rotaciones coordinadas hacia los puntos importantes. La ejecución depende de rotaciones limpias.",jugar a objetivos,mid,"dragones, heraldo y visión previa",bajo,Necesita prioridad previa de líneas.,V3_implicit_contextual
1138,Leona,Aurora,Gangplank,TwistedFate,Zoe,Lulu,Ambessa,Braum,Mel,Sett,"Por la forma del draft, con Leona, Aurora y Gangplank frente a Lulu, Ambessa y Braum, La composición necesita esperar cooldowns importantes y buscar una pelea agrupada donde varias habilidades impacten al mismo tiempo. El foco debe estar en peleas agrupadas por dragón o barón, cuidando control de visión.",wombo combo,mid,peleas agrupadas por dragón o barón,bajo,Depende de cooldowns definitivos.,V3_implicit_contextual
1139,Qiyana,Elise,Ambessa,Cassiopeia,Katarina,Draven,Shaco,Nunu,Singed,Mordekaiser,"El draft aliado mezcla roaming tempo, engage y engage, mientras el rival amenaza con pelea ordenada y objective control. La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. La ejecución depende de temporizadores de objetivos.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1140,Trundle,Teemo,Cassiopeia,Xerath,Jhin,Fiora,Aatrox,Ashe,Ekko,Corki,"El punto clave será que, con Trundle, Teemo y Cassiopeia frente a Fiora, Aatrox y Ashe, La ventaja aparece al administrar recursos del mapa, dividir presión y evitar peleas frontales innecesarias. El foco debe estar en oleadas laterales y estructuras, cuidando control de visión.",macro composition,mid-late,oleadas laterales y estructuras,bajo,Menos directa en peleas 5v5.,V3_implicit_contextual
1141,Rakan,Viego,Kindred,Singed,Evelynn,Heimerdinger,Udyr,Shen,Zac,Nidalee,"La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. En la práctica, Rakan y Singed necesitan que Viego controle los primeros movimientos contra Heimerdinger y Nidalee. La prioridad debería girar alrededor de visión oscura antes de Nashor.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
1142,Sejuani,KhaZix,Morgana,Sivir,Irelia,Kindred,Jax,Kassadin,Zeri,Kayle,"En este escenario, con Sejuani, KhaZix y Morgana frente a Kindred, Jax y Kassadin, Si la partida se extiende, el daño sostenido y las herramientas de zona pueden superar la presión inicial del rival. El foco debe estar en barón, alma o pelea tardía, cuidando presión de mapa.",escalar late,late,"barón, alma o pelea tardía",alto,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1143,Talon,Maokai,Varus,Bard,Sion,Poppy,ChoGath,Taliyah,Kennen,Seraphine,"El draft aliado mezcla engage, objective control y scaling, mientras el rival amenaza con utility y bruiser dive. La composición necesita moverse primero, ganar prioridad de oleadas y llegar antes a las jugadas del mapa. La ejecución depende de zona de dragón.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",bajo,Pierde fuerza si no convierte presión.,V3_implicit_contextual
1144,Blitzcrank,Riven,Rumble,Hwei,MissFortune,Zilean,KSante,Nautilus,Nami,Ryze,"La composición aliada se beneficia cuando, con Blitzcrank, Riven y Rumble frente a Zilean, KSante y Nautilus, La condición principal es preparar zonas neutrales con tiempo, empujar oleadas y obligar al rival a facecheckear. El foco debe estar en dragones, heraldo y visión previa, cuidando río sin visión.",jugar a objetivos,mid,"dragones, heraldo y visión previa",medio,Necesita prioridad previa de líneas.,V3_implicit_contextual
1145,Urgot,KogMaw,Elise,Volibear,Qiyana,Varus,KSante,Teemo,Skarner,Azir,"El draft aliado mezcla bruiser dive, pelea ordenada y engage, mientras el rival amenaza con scaling y pelea ordenada. No conviene iniciar peleas largas; es mejor buscar una captura previa y luego convertirla en torre, dragon o Nashor. La ejecución depende de temporizadores de objs.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
1146,Lissandra,Naafiri,VelKoz,ChoGath,Sejuani,Nunu,KaiSa,BelVeth,Aphelios,Shaco,"En este escenario, con Lissandra, Naafiri y VelKoz frente a Nunu, KaiSa y BelVeth, El equipo debe jugar alrededor del tirador principal, darle espacio y usar herramientas defensivas para mantenerlo vivo. El foco debe estar en peleas tardías con el carry protegido, cuidando flancos laterales.",protect hypercarry,late,peleas tardías con el carry protegido,alto,Vulnerable a dive y pick comp.,V3_implicit_contextual
1147,Samira,Qiyana,Teemo,Sion,Aurora,Zilean,Singed,Ivern,Pantheon,Ahri,"La condición de victoria depende de que el carry llegue con objetos y pueda pegar sin recibir acceso directo del rival. En la práctica, Samira y Sion necesitan que Qiyana controle los primeros movimientos contra Zilean y Ahri. La prioridad debería girar alrededor de peleas tardías con el carry protegido.",protect hypercarry,late,peleas tardías con el carry protegido,medio,Vulnerable a dive y pick comp.,V3_implicit_contextual
1148,Darius,Yone,Ashe,DrMundo,Jax,Evelynn,Garen,Ahri,Neeko,Taric,"La ventaja aparece al administrar recursos del mapa, dividir presión y evitar peleas frontales innecesarias. En la práctica, Darius y DrMundo necesitan que Yone controle los primeros movimientos contra Evelynn y Taric. La prioridad debería girar alrededor de oleadas laterales y estructuras.",macro composition,mid-late,oleadas laterales y estructuras,medio,Menos directa en peleas 5v5.,V3_implicit_contextual
1149,Annie,Corki,Akali,Heimerdinger,Evelynn,XinZhao,Xerath,Qiyana,Singed,Senna,"El draft aliado mezcla capturas previas, poke y control mage, mientras el rival amenaza con tempo y capturas previas. El equipo puede decidir la partida si encuentra una entrada múltiple en espacios cerrados como río o jungla. La ejecución depende de control de cooldowns.",wombo combo,mid,peleas agrupadas por dragón o barón,medio,Depende de cooldowns definitivos.,V3_implicit_contextual
1150,Quinn,Pyke,Irelia,Gragas,Neeko,Jayce,Garen,Nilah,Rammus,Janna,"La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. En la práctica, Quinn y Gragas necesitan que Pyke controle los primeros movimientos contra Jayce y Janna. La prioridad debería girar alrededor de dragón o Nashor con formación estable.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
1151,Zac,Olaf,Shaco,Amumu,Sejuani,Taliyah,Heimerdinger,Renekton,Braum,BelVeth,"Con una ejecución ordenada, con Zac, Olaf y Shaco frente a Taliyah, Heimerdinger y Renekton, La condición de victoria aparece antes del minuto quince, especialmente si la jungla conecta con líneas fuertes. El foco debe estar en primer heraldo, placas y presión de río, cuidando ventanas de tempo.",agresivo early,early,"primer heraldo, placas y presión de río",alto,No extender partida sin ventaja.,V3_implicit_contextual
1152,Akshan,Brand,Ambessa,Darius,Urgot,Lulu,Swain,Mordekaiser,TahmKench,Vex,"Por la forma del draft, con Akshan, Brand y Ambessa frente a Lulu, Swain y Mordekaiser, La frontline debe absorber la primera entrada mientras los carries mantienen daño constante desde una posición segura. El foco debe estar en dragón o Nashor con formación estable, cuidando setup de Nashor.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
1153,Orianna,Kindred,KSante,Yone,Kassadin,Aatrox,Yorick,Karma,Xayah,KogMaw,"La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. En la práctica, Orianna y Yone necesitan que Kindred controle los primeros movimientos contra Aatrox y KogMaw. La prioridad debería girar alrededor de visión oscura antes de Nashor.",pick composition,mid,visión oscura antes de Nashor,medio,Requiere visión profunda.,V3_implicit_contextual
1154,Viktor,Jayce,Talon,Vayne,Ivern,Irelia,Zed,Akshan,Varus,Warwick,"El draft aliado mezcla control mage, poke y engage, mientras el rival amenaza con splitpush y scaling. No conviene iniciar peleas largas; es mejor buscar una captura previa y luego convertirla en torre, dragón o Nashor. La ejecución depende de río sin visión.",pick composition,mid,visión oscura antes de Nashor,alto,Requiere visión profunda.,V3_implicit_contextual
1155,Ziggs,LeeSin,Gangplank,Rell,Amumu,RenataGlasc,Maokai,Veigar,Skarner,Olaf,"El punto clave será que, con Ziggs, LeeSin y Gangplank frente a RenataGlasc, Maokai y Veigar, La composición tiene herramientas para pelear temprano, buscar escaramuzas en río y convertir prioridad de líneas en oro. El foco debe estar en primer heraldo, placas y presión de río, cuidando temporizadores de objetivos.",agresivo early,early,"primer heraldo, placas y presión de río",bajo,No extender partida sin ventaja.,V3_implicit_contextual
1156,Brand,Pyke,Ahri,Zed,TahmKench,Fiddlesticks,KogMaw,Caitlyn,Galio,Kindred,"El draft aliado mezcla poke, capturas previas y poke, mientras el rival amenaza con dive y pelea ordenada. El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. La ejecución depende de control de cooldowns.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",medio,Pierde fuerza si no convierte presión.,V3_implicit_contextual
1157,Ryze,Xerath,Diana,Aatrox,Gnar,Jinx,Ivern,Malzahar,Galio,Alistar,"En este escenario, con Ryze, Xerath y Diana frente a Jinx, Ivern y Malzahar, La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. El foco debe estar en dragón o Nashor con formación estable, cuidando frontline disponible.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
1158,Vladimir,Singed,Zoe,Sett,KSante,Poppy,Nidalee,Gwen,BelVeth,TwistedFate,"Con una ejecución ordenada, con Vladimir, Singed y Zoe frente a Poppy, Nidalee y Gwen, La condición de victoria depende de que el carry llegue con objetos y pueda pegar sin recibir acceso directo del rival. El foco debe estar en peleas tardías con el carry protegido, cuidando prioridad de oleadas.",protect hypercarry,late,peleas tardías con el carry protegido,bajo,Vulnerable a dive y pick comp.,V3_implicit_contextual
1159,Viego,KhaZix,TahmKench,Ivern,LeBlanc,Katarina,Ornn,Bard,Sivir,Gragas,"El draft aliado mezcla early gank, early gank y bruiser dive, mientras el rival amenaza con scaling y bruiser dive. La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. La ejecución depende de zona de dragón.",front-to-back,mid-late,dragón o Nashor con formación estable,alto,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
1160,Camille,Samira,Darius,Renekton,Kalista,Karma,Gnar,KogMaw,Taliyah,Zed,"La lectura inicial indica que, con Camille, Samira y Darius frente a Karma, Gnar y KogMaw, La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. El foco debe estar en torres laterales y presión cruzada, cuidando setup de Nashor.",splitpush táctico,mid-late,torres laterales y presión cruzada,medio,Requiere visión lateral y TP disponible.,V3_implicit_contextual
1161,RenataGlasc,BelVeth,Leona,Samira,Soraka,Lissandra,Gragas,Sivir,Kayle,ChoGath,"El draft aliado mezcla engage, engage y disengage, mientras el rival amenaza con scaling y engage. La composición gana valor cuando puede ocultar visión, esperar errores de posicionamiento y atrapar objetivos aislados. La ejecución depende de setup de Nashor.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
1162,Naafiri,Poppy,Tristana,Tryndamere,Pantheon,Elise,Nunu,Nautilus,Ezreal,Vladimir,"Por la forma del draft, con Naafiri, Poppy y Tristana frente a Elise, Nunu y Nautilus, El plan depende más de lectura de mapa, oleadas y tempo de rotación que de forzar peleas directas. El foco debe estar en oleadas laterales y estructuras, cuidando ventanas de tempo.",macro composition,mid-late,oleadas laterales y estructuras,alto,Menos directa en peleas 5v5.,V3_implicit_contextual
1163,Milio,Kindred,Soraka,Pyke,Singed,Rell,Seraphine,Briar,Kayn,Alistar,"El punto clave será que, con Milio, Kindred y Soraka frente a Rell, Seraphine y Briar, La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. El foco debe estar en visión oscura antes de Nashor, cuidando amenaza sobre carries.",pick composition,mid,visión oscura antes de Nashor,medio,Requiere visión profunda.,V3_implicit_contextual
1164,Naafiri,XinZhao,Maokai,JarvanIV,Nunu,Vex,Kindred,Teemo,Gangplank,Aatrox,"En este escenario, con Naafiri, XinZhao y Maokai frente a Vex, Kindred y Teemo, Si la partida se extiende, el daño sostenido y las herramientas de zona pueden superar la presión inicial del rival. El foco debe estar en barón, alma o pelea tardía, cuidando flancos laterales.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1165,Draven,Heimerdinger,Malzahar,Braum,Katarina,Diana,Nidalee,Skarner,Shyvana,Vayne,"Por la forma del draft, con Draven, Heimerdinger y Malzahar frente a Diana, Nidalee y Skarner, No conviene iniciar peleas largas; es mejor buscar una captura previa y luego convertirla en torre, dragón o Nashor. El foco debe estar en visión oscura antes de Nashor, cuidando presión de mapa.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
1166,Kayn,Gnar,Leona,Brand,Cassiopeia,Kalista,Neeko,KhaZix,Rammus,Vladimir,"El draft aliado mezcla dive, splitpush y disengage, mientras el rival amenaza con scaling y roaming tempo. La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. La ejecución depende de temporizadores de objetivos.",escalar late,late,"barón, alma o pelea tardía",medio,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1167,Lissandra,Nidalee,JarvanIV,Jax,MissFortune,Draven,ChoGath,Vladimir,Quinn,Jhin,"El draft aliado mezcla scaling, tempo y tempo, mientras el rival amenaza con pelea ordenada y bruiser dive. La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. La ejecución depende de control de cooldowns.",escalar late,late,"barón, alma o pelea tardía",alto,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1168,Zed,Yuumi,Lulu,Kled,Quinn,Shyvana,Aatrox,Nilah,Sion,Malphite,"El draft aliado mezcla scaling, utility y disengage, mientras el rival amenaza con dive y splitpush. No conviene iniciar peleas largas; es mejor buscar una captura previa y luego convertirla en torre, dragón o Nashor. La ejecución depende de prioridad de oleadas.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
1169,Samira,Milio,Taliyah,Rell,RekSai,Kalista,Heimerdinger,Leona,Wukong,Akali,"El draft aliado mezcla lane pressure, capturas previas y roaming tempo, mientras el rival amenaza con scaling y control mage. No conviene gastar definitivas por separado; el valor real está en sincronizar iniciación y daño sobre varios objetivos. La ejecución depende de control de vision.",wombo combo,mid,peleas agrupadas por dragón o barón,alto,Depende de cooldowns definitivos.,V3_implicit_contextual
1170,Rengar,Malphite,AurelionSol,Quinn,Kalista,Ziggs,Kindred,Rell,Jinx,Shen,"Si la partida se extiende, el daño sostenido y las herramientas de zona pueden superar la presión inicial del rival. En la práctica, Rengar y Quinn necesitan que Malphite controle los primeros movimientos contra Ziggs y Shen. La prioridad debería girar alrededor de barón, alma o pelea tardía.",escalar late,late,"barón, alma o pelea tardía",alto,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
1171,Tryndamere,Yasuo,Olaf,Ezreal,Mel,Karthus,Vex,Sivir,Fizz,Sylas,"El equipo puede ganar moviendo mejor las oleadas, presionando laterales y forzando al rival a responder en zonas opuestas. En la práctica, Tryndamere y Ezreal necesitan que Yasuo controle los primeros movimientos contra Karthus y Sylas. La prioridad debería girar alrededor de oleadas laterales y estructuras.",macro composition,mid-late,oleadas laterales y estructuras,medio,Menos directa en peleas 5v5.,V3_implicit_contextual
1172,Rakan,Cassiopeia,Malzahar,MissFortune,Taric,ChoGath,Braum,Skarner,Vladimir,Yuumi,"La partida debe abrirse por los costados, no por peleas frontales sin preparación. En la práctica, Rakan y MissFortune necesitan que Cassiopeia controle los primeros movimientos contra ChoGath y Yuumi. La prioridad debería girar alrededor de torres laterales y presión cruzada.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
1173,Malzahar,Rammus,Ashe,Ornn,Shen,Trundle,Amumu,Neeko,Briar,Urgot,"El draft aliado mezcla poke, dive y scaling, mientras el rival amenaza con pelea ordenada y engage. La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. La ejecución depende de zona de dragón.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
1174,Alistar,Fiora,Rammus,KogMaw,Nasus,Bard,Smolder,Seraphine,Naafiri,Malzahar,"En este escenario, con Alistar, Fiora y Rammus frente a Bard, Smolder y Seraphine, La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. El foco debe estar en visión oscura antes de Nashor, cuidando presión de mapa.",pick composition,mid,visión oscura antes de Nashor,alto,Requiere visión profunda.,V3_implicit_contextual
1175,Urgot,KaiSa,Sona,TahmKench,KogMaw,Janna,Seraphine,Heimerdinger,Sett,Syndra,"El plan depende de mantener formación compacta, responder al engage rival y permitir que el tirador golpee sin ser alcanzado. En la práctica, Urgot y TahmKench necesitan que KaiSa controle los primeros movimientos contra Janna y Syndra. La prioridad debería girar alrededor de dragón o Nashor con formación estable.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
1176,Braum,Zeri,Azir,Sett,Shen,Amumu,Samira,Fizz,Bard,Nidalee,"El draft aliado mezcla capturas previas, pelea ordenada y scaling, mientras el rival amenaza con engage y lane pressure. La composición gana si controla espacio con rango, limpia oleadas rápido y evita peleas cerradas sin ventaja previa. La ejecución depende de control de cooldowns.",poke composition,mid,torres y zonas neutrales,bajo,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
1177,Hwei,KaiSa,Volibear,Soraka,Sett,Azir,Jayce,Samira,TwistedFate,Cassiopeia,"El draft aliado mezcla capturas previas, pelea ordenada y engage, mientras el rival amenaza con scaling y poke. El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. La ejecución depende de rotaciones limpias.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
1178,Nidalee,Ekko,Poppy,Vi,Gnar,Nocturne,Graves,Annie,Zeri,Kayn,"El draft aliado mezcla tempo, tempo y utility, mientras el rival amenaza con dive y objective control. El equipo debe desgastar desde distancia antes de iniciar, obligando al rival a entrar con poca vida a las zonas neutrales. La ejecución depende de río sin visión.",poke composition,mid,torres y zonas neutrales,bajo,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
1179,Trundle,Xerath,Taric,Nidalee,KhaZix,Nasus,Zyra,Camille,Zilean,Hecarim,"El draft aliado mezcla pelea ordenada, capturas previas y engage, mientras el rival amenaza con splitpush y utility. El plan depende más de lectura de mapa, oleadas y tempo de rotación que de forzar peleas directas. La ejecución depende de amenaza sobre carries.",macro composition,mid-late,oleadas laterales y estructuras,bajo,Menos directa en peleas 5v5.,V3_implicit_contextual
1180,Jayce,Karthus,Alistar,Viego,Poppy,Yorick,MasterYi,Shen,Fizz,Nautilus,"El draft aliado mezcla poke, dive y engage, mientras el rival amenaza con bruiser dive y early gank. El equipo debe desgastar desde distancia antes de iniciar, obligando al rival a entrar con poca vida a las zonas neutrales. La ejecución depende de frontline disponible.",poke composition,mid,torres y zonas neutrales,medio,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
1181,Ashe,Samira,Skarner,Jinx,Lulu,Zoe,Galio,Warwick,Zyra,Malzahar,"La condición de victoria depende de que el carry llegue con objetos y pueda pegar sin recibir acceso directo del rival. En la práctica, Ashe y Jinx necesitan que Samira controle los primeros movimientos contra Zoe y Malzahar. La prioridad debería girar alrededor de peleas tardías con el carry protegido.",protect hypercarry,late,peleas tardías con el carry protegido,bajo,Vulnerable a dive y pick comp.,V3_implicit_contextual
1182,Shaco,Sona,Thresh,Vladimir,Smolder,Seraphine,Xayah,Twitch,Annie,Olaf,"El draft aliado mezcla objective control, disengage y capturas previas, mientras el rival amenaza con peel y hypercarry. La composición tiene herramientas para pelear temprano, buscar escaramuzas en río y convertir prioridad de líneas en oro. La ejecución depende de frontline disponible.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
1183,Briar,Diana,Ivern,Syndra,Fiora,Varus,Trundle,Rakan,Azir,Blitzcrank,"El draft aliado mezcla tempo, objective control y engage, mientras el rival amenaza con scaling y pelea ordenada. El plan depende de mantener formación compacta, responder al engage rival y permitir que el tirador golpee sin ser alcanzado. La ejecución depende de control de cooldowns.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
1184,Fizz,Gnar,Evelynn,Zyra,Rammus,Shaco,Teemo,Lulu,Fiddlesticks,Annie,"El draft aliado mezcla roaming tempo, splitpush y early gank, mientras el rival amenaza con objective control y engage. El equipo debe desgastar desde distancia antes de iniciar, obligando al rival a entrar con poca vida a las zonas neutrales. La ejecución depende de amenaza sobre carries.",poke composition,mid,torres y zonas neutrales,alto,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
1185,Seraphine,MasterYi,Veigar,Fizz,Fiddlesticks,Hwei,TahmKench,Shaco,Trundle,VelKoz,"Por la forma del draft, con Seraphine, MasterYi y Veigar frente a Hwei, TahmKench y Shaco, El equipo debe jugar alrededor del tirador principal, darle espacio y usar herramientas defensivas para mantenerlo vivo. El foco debe estar en peleas tardías con el carry protegido, cuidando ventanas de tempo.",protect hypercarry,late,peleas tardías con el carry protegido,bajo,Vulnerable a dive y pick comp.,V3_implicit_contextual
1186,Maokai,Cassiopeia,Blitzcrank,Fiora,Corki,Xayah,Sylas,Braum,Bard,TahmKench,"La composición aliada se beneficia cuando, con Maokai, Cassiopeia y Blitzcrank frente a Xayah, Sylas y Braum, La ventaja aparece al administrar recursos del mapa, dividir presión y evitar peleas frontales innecesarias. El foco debe estar en oleadas laterales y estructuras, cuidando río sin visión.",macro composition,mid-late,oleadas laterales y estructuras,bajo,Menos directa en peleas 5v5.,V3_implicit_contextual
1187,Braum,Corki,Malzahar,Singed,Talon,Nautilus,Brand,Lulu,Lillia,Amumu,"Con una ejecución ordenada, con Braum, Corki y Malzahar frente a Nautilus, Brand y Lulu, El draft tiene sentido si todos compran tiempo, bloquean amenazas y permiten que el carry sostenga el daño. El foco debe estar en peleas tardías con el carry protegido, cuidando front line disponible.",protect hypercarry,late,peleas tardías con el carry protegido,medio,Vulnerable a dive y pick comp.,V3_implicit_contextual
1188,Karma,Anivia,Orianna,Yorick,Janna,Akali,Zac,Hwei,Zed,KaiSa,"El draft aliado mezcla lane pressure, poke y control mage, mientras el rival amenaza con control mage y early gank. La composición necesita moverse primero, ganar prioridad de oleadas y llegar antes a las jugadas del mapa. La ejecución depende de zona de dragón.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
